,zip,ESTAB,EMP,PAYANN,PAYANN/ESTAB,PAYANN/EMP,cluster
170,01451,132,675.0,44796.0,339.3636363636364,66.36444444444444,2
171,01452,49,287.0,10045.0,205.0,35.0,0
172,01453,1127,18451.0,719199.0,638.153504880213,38.97886293425831,2
173,01460,318,7816.0,702597.0,2209.4245283018868,89.89214431934494,2
174,01462,212,1878.0,78563.0,370.5801886792453,41.833333333333336,2
175,01463,208,1379.0,59600.0,286.53846153846155,43.21972443799855,2
176,01464,121,1439.0,79788.0,659.404958677686,55.44683808200139,2
177,01467,9,33.0,1277.0,141.88888888888889,38.696969696969695,0
178,01468,61,289.0,11125.0,182.37704918032787,38.49480968858131,0
179,01469,129,1358.0,48973.0,379.6356589147287,36.06259204712813,2
180,01471,3,1.0,1.0,0.3333333333333333,1.0,0
181,01472,10,373.0,22447.0,2244.7,60.179624664879356,2
182,01473,167,1369.0,68228.0,408.5508982035928,49.83783783783784,2
183,01474,27,121.0,4138.0,153.25925925925927,34.19834710743802,0
184,01475,143,1156.0,34202.0,239.17482517482517,29.586505190311417,2
185,01477,1,1.0,1.0,1.0,1.0,0
186,01501,597,11078.0,468468.0,784.7035175879397,42.28813865318649,2
187,01503,81,373.0,15866.0,195.87654320987653,42.53619302949062,0
188,01504,132,768.0,28653.0,217.0681818181818,37.30859375,2
189,01505,123,1343.0,67786.0,551.1056910569106,50.47356664184661,2
190,01506,42,158.0,4557.0,108.5,28.841772151898734,0
191,01507,235,2122.0,99940.0,425.27659574468083,47.09707822808671,2
192,01508,23,327.0,8817.0,383.3478260869565,26.96330275229358,0
193,01509,4,13.0,837.0,209.25,64.38461538461539,0
194,01510,244,3384.0,174017.0,713.1844262295082,51.423463356974,2
195,01515,43,451.0,13927.0,323.8837209302326,30.880266075388025,0
196,01516,127,755.0,31614.0,248.9291338582677,41.87284768211921,2
197,01518,63,546.0,23579.0,374.26984126984127,43.184981684981686,0
